0,1,2
0.0,-0.0,-0.0
0.00275187901796,0.00218294716587,-0.0161259107099
0.0119845983364,0.00946972922478,-0.0702363078321
0.0230030908178,0.0180936972082,-0.134831447952
0.0413612416526,0.0324009342911,-0.242462746527
0.0672825180848,0.0524917110141,-0.394425522283
0.105344645438,0.0818209633973,-0.617796861467
0.159681414058,0.123515355366,-0.936973834119
0.235864857271,0.181854115223,-1.3844163571
0.350557414894,0.26948920185,-2.05817877408
0.531908332995,0.407594796687,-3.123812208
0.837726695379,0.639330025419,-4.92044771833
1.37196224442,1.04279806711,-8.06043818971
2.25445868646,1.70754053233,-13.2503820798
3.50489912035,2.64526843223,-20.6057575296
5.38596656988,4.04448317474,-31.6695117246
8.34532789179,6.22674598482,-49.0740951365
12.0621629492,8.93514658278,-70.9331034245
16.2352519724,11.9263535631,-95.4629570003
21.0052070031,15.2568876423,-123.444104196
26.4013128849,18.8693160663,-154.96921727
32.2023526715,22.5516811555,-188.665267465
38.2005996442,26.108519502,-223.244688742
44.6829206574,29.6136658552,-260.258811283
51.6665019155,32.9711141246,-299.671112966
59.0187723799,36.0037430606,-340.588384397
66.5385910684,38.5114857758,-381.781897063
74.1923674146,40.3561712618,-422.94461278
82.0293428472,41.4103768223,-464.195025964
89.9151180498,41.5388649727,-504.699951623
97.8386672694,40.6450633179,-544.262118857
105.842667544,38.6348984781,-582.909343591
113.868845328,35.4665952776,-620.163824024
121.92843704,31.0903566643,-655.780015882
130.081921707,25.4041441016,-689.615703479
138.454520943,18.2427469376,-721.787151628
147.123171386,9.43663720993,-752.116111944
156.10199906,-1.16615286469,-780.100722474
165.203235901,-13.4730180893,-804.71912732
174.379135012,-27.4290222357,-825.535753839
183.716770215,-43.1168794567,-842.468254176
193.437947334,-60.9744305493,-855.476523633
203.677127829,-81.3959668279,-864.116904301
214.468466237,-104.588929115,-867.716718422
225.866512383,-130.77320171,-865.585528332
237.84287576,-159.891073322,-857.088874132
250.304802526,-191.554221835,-841.848113817
263.141519872,-225.14298345,-819.86331223
276.217372763,-259.836239766,-791.587726145
289.362327247,-294.644059966,-757.957204949
302.515486808,-328.846349138,-719.894487604
315.599626881,-361.702004608,-678.434611711
328.522235057,-392.501586185,-634.660222165
341.060994816,-420.436998652,-590.094192479
353.065587272,-445.01442209,-545.985022194
364.539213548,-466.152382412,-502.912327554
375.54227022,-483.884762234,-461.098148942
386.114569946,-498.218503104,-420.72605053
396.254088543,-509.10805061,-382.054037477
405.90795622,-516.498586351,-345.464571899
415.037381622,-520.403414892,-311.226085589
423.66302162,-520.919366922,-279.332841117
431.801750077,-518.148088562,-249.758384897
439.470103283,-512.199704008,-222.452486348
446.671700917,-503.21809919,-197.391319671
453.457795423,-491.290092906,-174.374308934
459.86966891,-476.495256322,-153.233781777
465.910175478,-458.980499497,-133.927498697
471.515722783,-439.198136315,-116.603807495
476.634237115,-417.692754169,-101.348762659
481.288069259,-394.857301215,-88.0038512198
485.569522404,-370.674697839,-76.2249770836
489.570445501,-345.059755234,-65.6879184658
493.290661037,-318.471543471,-56.3198287742
496.728089241,-291.365296067,-48.0550531934
499.881053998,-264.198949368,-40.8264407402
502.762812571,-237.390946302,-34.5218393205
505.378375425,-211.386895606,-29.0557779262
507.734845293,-186.565720036,-24.3456362977
509.848280498,-163.173314985,-20.2962770673
511.718850055,-141.57576134,-16.8508077175
513.347563247,-122.074988522,-13.9583503668
514.752788289,-104.714934785,-11.5453418396
515.968149315,-89.27664051,-9.52324829155
517.030250411,-75.4454622837,-7.80778537048
517.953247249,-63.1593576912,-6.35733917059
518.744122447,-52.4291741087,-5.14510391699
519.408148213,-43.2705540389,-4.14971619728
519.960967273,-35.5429911867,-3.33645859541
520.420424499,-29.0492489223,-2.67125846174
520.804116473,-23.5748991092,-2.12347238651
521.121775381,-19.0070035551,-1.67531071708
521.383050919,-15.2266380093,-1.31021299468
521.59686579,-12.1189423089,-1.01360296187
