0,1,2
0.0,0.0,0.0
95.0468573284,100.0,108.882973455
0.000101079709726,3.04648544364e-06,0.00047173520104
95.0467562487,99.9999969535,108.88250172
0.00044093119514,1.32676270074e-05,0.00206001163968
95.0464163972,99.9999867324,108.880913443
0.000848778772782,2.5465720287e-05,0.00397049505924
95.0460085497,99.9999745343,108.87900296
0.00152893462772,4.57892297601e-05,0.00716016050445
95.0453283938,99.9999542108,108.875813294
0.00248643612406,7.44855462827e-05,0.0116563845583
95.0443708923,99.9999255145,108.87131707
0.00392901852941,0.000116622470246,0.0184456446905
95.0429283099,99.9998833775,108.86452781
0.00603740654039,0.000176776340955,0.0283858486931
95.0408199219,99.9998232237,108.854587606
0.00898298145882,0.0002611157139,0.0422793145375
95.037874347,99.9997388843,108.84069414
0.0134421408808,0.000388086850717,0.0633272948479
95.0334151876,99.9996119131,108.81964616
0.0205399818497,0.000588852556106,0.0968651757532
95.0263173466,99.9994111474,108.786108279
0.0324294429757,0.000927410749733,0.153103848913
95.0144278855,99.9990725893,108.729869606
0.0534458910453,0.00151883966539,0.252631372959
94.9934114374,99.9984811603,108.630342082
0.0887095141227,0.00249581305237,0.419813822403
94.9581478143,99.9975041869,108.463159632
0.138934482911,0.00388012121241,0.658225934928
94.9079228455,99.9961198788,108.22474752
0.214152673292,0.00596256908388,1.01595385452
94.8327046551,99.9940374309,107.8670196
0.332213786676,0.00924427628441,1.57857454381
94.7146435418,99.9907557237,107.304398911
0.508453268201,0.0141575941588,2.42027444744
94.5384040602,99.9858424058,106.462699007
0.766860713597,0.0214594822807,3.65725768001
94.2799966148,99.9785405177,105.225715775
1.14001562916,0.0324649356339,5.44902891348
93.9068416993,99.9675350644,103.433944541
1.65354587674,0.0488386830224,7.92558916793
93.3933114517,99.951161317,100.957384287
2.30256647851,0.0717514595859,11.071126402
92.7442908499,99.9282485404,97.8118470527
3.06019052951,0.102008956827,14.7645934008
91.9866667989,99.8979910432,94.1183800539
3.9526860347,0.143161242077,19.148374542
91.0941712937,99.8568387579,89.7345989128
4.9768094898,0.198493920516,24.2228111137
90.0700478386,99.8015060795,84.6601623411
6.10252107857,0.270480456871,29.8575218957
88.9443362499,99.7295195431,79.025451559
7.28777256024,0.360244356466,35.8642396968
87.7590847682,99.6397556435,73.018733758
8.50341239115,0.470040621991,42.1212522631
86.5434449373,99.529959378,66.7617211916
9.73238644213,0.603523667992,48.5695369687
85.3144708863,99.396476332,60.313436486
10.9367950332,0.761201956942,55.0353941107
84.1100622953,99.2387980431,53.847579344
12.0929407226,0.945138469804,61.4125835602
82.9539166058,99.0548615302,47.4703898946
13.1833491003,1.15884200296,67.6206724509
81.8635082281,98.841157997,41.2623010039
14.1829462751,1.40326912522,73.5198487624
80.8639110534,98.5967308748,35.3631246923
15.0643663954,1.68107650018,78.9453343167
79.982490933,98.3189234998,29.9376391381
15.8043075187,1.99717192519,83.7460605046
79.2425498098,98.0028280748,25.1369129501
16.4112805066,2.36062991654,87.9444525155
78.6355768219,97.6393700835,20.9385209393
16.8980475429,2.78082078641,91.5812487714
78.1488097856,97.2191792136,17.3017246834
17.2743050222,3.26575632842,94.6775337711
77.7725523062,96.7342436716,14.2054396836
17.5480891385,3.81174535074,97.2357120483
77.4987681899,96.1882546493,11.6472614064
17.7365340268,4.42062911942,99.3128698673
77.3103233017,95.5793708806,9.57010358748
17.8617264282,5.10351780935,101.001878696
77.1851309003,94.8964821907,7.8810947589
17.9404964999,5.8856190763,102.397269312
77.1063608285,94.1143809237,6.48570414305
17.9854800639,6.79173226775,103.566289631
77.0613772645,93.2082677322,5.31668382409
18.0075425951,7.84260906711,104.550332758
77.0393147333,92.1573909329,4.33264069674
18.0171576553,9.06469632044,105.383223074
77.0296996731,90.9353036796,3.49975038122
18.0260288147,10.4790272549,106.084422437
77.0208285138,89.5209727451,2.79855101753
18.0484344916,12.0993775298,106.660756861
76.9984228368,87.9006224702,2.22221659393
18.1020758743,13.9347553657,107.120831884
76.9447814542,86.0652446343,1.76214157111
18.2068107262,15.9861589856,107.480512614
76.8400466022,84.0138410144,1.40246084041
18.382431643,18.2419979589,107.761477507
76.6644256854,81.7580020411,1.12149594818
18.6491668954,20.7022568474,107.987191759
76.397690433,79.2977431526,0.895781695768
19.0262141419,23.3597468463,108.17368828
76.0206431865,76.6402531537,0.709285175232
19.5299333384,26.1985828796,108.327699741
75.51692399,73.8014171204,0.555273713324
20.1627140621,29.16441465,108.451819519
