"Ethnic.Group","ANZSOC.Division","ANZSOC.Group","ANZSOC.Subdivision","Mop.Division","Mop.Group","Mop.Subdivision","SEX","Date"
"Maori","Prohibited and Regulated Weapons and Explosives Offences","Unlawfully Obtain or Possess Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Prohibited and Regulated Weapons and Explosives Offences","Unlawfully Obtain or Possess Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Court Action","Prosecution","Court Action N.E.C.","Female",2021-03-01
"Maori","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Court Action","Prosecution","Court Action N.E.C.","Female",2021-02-01
"Maori","Public Order Offences","Disorderly Conduct, N.E.C.","Disorderly Conduct","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Public Order Offences","Trespass","Disorderly Conduct","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Public Order Offences","Trespass","Disorderly Conduct","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Public Order Offences","Cruelty to Animals","Offensive Conduct","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Public Order Offences","Trespass","Disorderly Conduct","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Public Order Offences","Trespass","Disorderly Conduct","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Robbery, Extortion and Related Offences","Aggravated Robbery","Robbery","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Robbery, Extortion and Related Offences","Aggravated Robbery","Robbery","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Robbery, Extortion and Related Offences","Aggravated Robbery","Robbery","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Robbery, Extortion and Related Offences","Aggravated Robbery","Robbery","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C.","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Receive or Handle Proceeds of Crime","Receive or Handle Proceeds of Crime","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Receive or Handle Proceeds of Crime","Receive or Handle Proceeds of Crime","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C.","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Receive or Handle Proceeds of Crime","Receive or Handle Proceeds of Crime","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C.","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C.","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Receive or Handle Proceeds of Crime","Receive or Handle Proceeds of Crime","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C.","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Illegal Use of a Motor Vehicle","Motor Vehicle Theft and Related Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Receive or Handle Proceeds of Crime","Receive or Handle Proceeds of Crime","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft (Except Motor Vehicles), N.E.C.","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Theft and Related Offences","Theft From Retail Premises","Theft (Except Motor Vehicles)","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Regulatory Driving Offences, N.E.C.","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive Without a Licence","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Regulatory Driving Offences, N.E.C.","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive Without a Licence","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Exceeding the Prescribed Content of Alcohol or Other Substance Limit","Regulatory Driving Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Driver Licence Offences, N.E.C.","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
"Maori","Traffic and Vehicle Regulatory Offences","Drive While Licence Disqualified or Suspended","Driving Licence Offences","Court Action","Prosecution","Court Action N.E.C.","Female",2021-10-01
