"Ethnic.Group","ANZSOC.Division","ANZSOC.Group","ANZSOC.Subdivision","Mop.Division","Mop.Group","Mop.Subdivision","SEX","Date"
"Maori","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter","Unlawful Entry With Intent/Burglary, Break and Enter","Non-Court Action","FGC - 247(B) Police Referred","Non-Court Referred Conference","Female",2021-10-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Serious Assault Resulting in Injury","Assault","Non-Court Action","Formal Warning","Formal Warning","Female",2021-11-01
"Asian","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"European","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Indian","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Serious Assault Resulting in Injury","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Serious Assault Resulting in Injury","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Serious Assault Not Resulting in Injury","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"Maori","Acts Intended to Cause Injury","Common Assault","Assault","Non-Court Action","Informal Warning","Informal Warning","Female",2021-11-01
"European","Illicit Drug Offences","Other Illicit Drug Offences, N.E.C.","Other Illicit Drug Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Cultivate Illicit Drugs","Manufacture or Cultivate Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Other Illicit Drug Offences, N.E.C.","Other Illicit Drug Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Cultivate Illicit Drugs","Manufacture or Cultivate Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Cultivate Illicit Drugs","Manufacture or Cultivate Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Cultivate Illicit Drugs","Manufacture or Cultivate Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Illicit Drug Offences","Use Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Miscellaneous Offences","Environmental Regulation Offences","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Miscellaneous Offences","Offences Against Privacy","Defamation, Libel and Privacy Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Miscellaneous Offences","Environmental Regulation Offences","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Miscellaneous Offences","Environmental Regulation Offences","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Miscellaneous Offences","Licit Drug Offences","Public Health and Safety Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Miscellaneous Offences","Commercial/Industry/Financial Regulation","Commercial/Industry/Financial Regulation","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Miscellaneous Offences","Miscellaneous Offences, N.E.C.","Other Miscellaneous Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Government Security, N.E.C.","Offences Against Government Security","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist/Hinder Govt Official (Excl.Police Offcr, Justice Official,Govt Sec Offcr)","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Escape Custody Offences","Breach of Custodial Order Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Government Operations, N.E.C.","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist/Hinder Govt Official (Excl.Police Offcr, Justice Official,Govt Sec Offcr)","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist/Hinder Govt Official (Excl.Police Offcr, Justice Official,Govt Sec Offcr)","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Breach of Violence Order","Breach of Violence and Non-Violence Restraining Orders","Non-Court Action","Formal Warning","Formal Warning","Male",2021-01-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Government Operations, N.E.C.","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Offences Against Justice Procedures, N.E.C.","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Unlawfully Obtain or Possess Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Regulated Weapons/Explosives Offences, N.E.C.","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Sell, Possess and/or Use Prohibited Weapons/Explosives","Prohibited Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Unlawfully Obtain or Possess Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Regulated Weapons/Explosives Offences, N.E.C.","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Sell, Possess and/or Use Prohibited Weapons/Explosives","Prohibited Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Property Damage and Environmental Pollution","Property Damage By Fire or Explosion","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Property Damage and Environmental Pollution","Graffiti","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Environmental Pollution, N.E.C.","Environmental Pollution","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Graffiti","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-02-01
"European","Property Damage and Environmental Pollution","Graffiti","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Male",2021-03-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Abduction, Harassment and Other Related Offences Against a Person","Threatening Behaviour","Harassment and Threatening Behaviour","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Fraud, Deception and Related Offences","Obtain Benefit By Deception","Obtain Benefit By Deception","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Other Illicit Drug Offences, N.E.C.","Other Illicit Drug Offences","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Other Illicit Drug Offences, N.E.C.","Other Illicit Drug Offences","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Other Illicit Drug Offences, N.E.C.","Other Illicit Drug Offences","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Deal or Traffic in Illicit Drugs not further defined","Deal or Traffic in Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Other Illicit Drug Offences, N.E.C.","Other Illicit Drug Offences","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Illicit Drug Offences","Possess Illicit Drug","Possess and/or Use Illicit Drugs","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist/Hinder Govt Official (Excl.Police Offcr, Justice Official,Govt Sec Offcr)","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Subvert the Course of Justice","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist or Hinder Police Officer or Justice Official","Offences Against Justice Procedures","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Offences Against Justice Procedures, Govt Sec and Govt Ops","Resist/Hinder Govt Official (Excl.Police Offcr, Justice Official,Govt Sec Offcr)","Offences Against Government Operations","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Prohibited and Regulated Weapons and Explosives Offences","Misuse of Regulated Weapons/Explosives","Regulated Weapons/Explosives Offences","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
"European","Property Damage and Environmental Pollution","Property Damage, N.E.C.","Property Damage","Non-Court Action","Formal Warning","Formal Warning","Female",2021-10-01
