Kingdom,Phylum,Class,Order,Family,Genus,SpeciesVerbatim,SpeciesAcceptedName,FMR_kJ_d,Mass_g,Temp_C,Endotherm,Reference,Comment,Outlier
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta trutta,Salmo trutta,7.30E+01,3.93E+02,14.00,0,Altimiras 2002,,0
Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Salmo,Salmo trutta trutta,Salmo trutta,7.18E+01,3.93E+02,18.00,0,Altimiras 2002,,0
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,Turdoides squamiceps,Turdoides squamiceps,1.23E+02,7.03E+01,30.00,1,Anava 2002,,0
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,Turdoides squamiceps,Turdoides squamiceps,1.30E+02,7.56E+01,15.00,1,Anava 2002,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Actitis,Actitis hypoleucos,Actitis hypoleucos,1.46E+02,5.16E+01,11.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,Lycaon pictus,1.53E+04,2.52E+04,19.50,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Phyllostomus,Phyllostomus hastatus,Phyllostomus hastatus,1.46E+02,8.08E+01,30.00,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Aepyprymnus,Aepyprymnus rufescens,Aepyprymnus rufescens,1.43E+03,2.86E+03,18.30,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Potoroidae,Bettongia,Bettongia lesueur,Bettongia lesueur,4.42E+02,7.20E+02,25.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Caprimulgiformes,Caprimulgidae,Phalaenoptilus,Phalaenoptilus nuttallii,Phalaenoptilus nuttallii,5.53E+01,5.12E+01,13.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Ptychoramphus,Plychoramphus aleuticus,Ptychoramphus aleuticus,4.13E+02,1.74E+02,14.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridaclyla,Rissa tridactyla,8.24E+02,3.65E+02,5.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia pusilla,Aethia pusilla,3.50E+02,8.03E+01,7.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Aethia,Aethia pusilla,Aethia pusilla,3.58E+02,8.35E+01,7.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Anous,Anous stolidus,Anous stolidus,3.52E+02,1.95E+02,24.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Charadrius,Charadrius hiaticula,Charadrius hiaticula,3.02E+02,7.48E+01,11.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,1.00E+02,4.88E+01,26.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,1.35E+02,5.34E+01,10.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,1.29E+02,5.37E+01,22.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Calidris,Calidris alba,Calidris alba,2.00E+02,6.42E+01,-2.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Arenaria,Arenaria interpres,Arenaria interpres,3.64E+02,1.09E+02,2.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna paradisaea,Sterna paradisaea,3.35E+02,1.01E+02,14.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Sterna,Sterna hirundo,Sterna hirundo,3.43E+02,1.27E+02,14.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,Rissa tridactyla,7.95E+02,3.86E+02,4.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Rissa,Rissa tridactyla,Rissa tridactyla,9.04E+02,4.04E+02,6.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Uria,Uria lomvia,Uria lomvia,1.48E+03,8.34E+02,7.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Cepphus,Cepphus grylle,Cepphus grylle,8.60E+02,3.80E+02,7.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Alcidae,Alle,Alle alle,Alle alle,6.96E+02,1.64E+02,3.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Charadriiformes,Laridae,Onychoprion,Sterna fuscata,Onychoprion fuscatus,2.41E+02,1.87E+02,23.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Columbiformes,Columbidae,Geophaps,Geophaps plumifera,Geophaps plumifera,7.60E+01,8.70E+01,26.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops viridis,Merops viridis,7.74E+01,3.38E+01,26.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Coraciiformes,Meropidae,Merops,Merops viridis,Merops viridis,8.53E+01,3.43E+01,26.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Ceryle,Ceryle rudis,Ceryle rudis,2.10E+02,7.60E+01,19.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,Falco tinnunculus,3.38E+02,2.17E+02,14.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Falconiformes,Falconidae,Falco,Falco tinnunculus,Falco tinnunculus,3.43E+02,2.20E+02,9.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Galliformes,Phasianidae,Alectoris,Alectoris chukar,Alectoris chukar,2.60E+02,3.95E+02,20.20,1,Anderson 2005,,0
Animalia,Chordata,Aves,Galliformes,Phasianidae,Ammoperdix,Ammoperdix heyi,Ammoperdix heyi,1.48E+02,1.90E+02,20.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla gambelii,Callipepla gambelii,9.08E+01,1.45E+02,32.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Galliformes,Phasianidae,Centrocercus,Centrocercus urophasianus,Centrocercus urophasianus,1.54E+03,2.50E+03,4.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Alaudidae,Calendulauda,Mirafra erythrochlamys,Calendulauda erythrochlamys,9.25E+01,2.74E+01,15.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Climacteridae,Cormobates,Cormobates leucophaeus,Cormobates leucophaea,8.14E+01,2.37E+01,21.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbica,Delichon urbicum,8.08E+01,1.78E+01,10.20,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbica,Delichon urbicum,8.02E+01,1.90E+01,12.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Delichon,Delichon urbica,Delichon urbicum,7.93E+01,1.95E+01,11.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo ruslica,Hirundo rustica,8.75E+01,1.72E+01,21.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo ruslica,Hirundo rustica,1.10E+02,1.87E+01,11.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,Hirundo ruslica,Hirundo rustica,1.04E+02,2.04E+01,12.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Ficedula,Ficedula albicollis,Ficedula albicollis,7.86E+01,1.59E+01,10.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco phaeonotus,Junco phaeonotus,7.07E+01,1.95E+01,19.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco phaeonotus,Junco phaeonotus,7.05E+01,1.99E+01,5.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Ptilogonatidae,Phainopepla,Phainopepla nitens,Phainopepla nitens,7.91E+01,2.27E+01,20.20,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passeridae,Philetairus,Philetairus socius,Philetairus socius,4.87E+01,2.55E+01,14.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Meliphagidae,Phylidonyris,Phylidonyris novaehollandiae,Phylidonyris novaehollandiae,7.76E+01,1.73E+01,20.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Turdidae,Sialia,Sialia mexicana,Sialia mexicana,9.50E+01,2.74E+01,12.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Leiothrichidae,Turdoides,Turdoides squamiceps,Turdoides squamiceps,1.21E+02,7.25E+01,23.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Prunellidae,Prunella,Prunella modularis,Prunella modularis,8.60E+01,2.12E+01,3.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis,Junco hyemalis,7.05E+01,1.78E+01,4.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Junco,Junco hyemalis,Junco hyemalis,8.27E+01,2.14E+01,22.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Fringillidae,Pyrrhula,Pyrrhula pyrrhula,Pyrrhula pyrrhula,8.80E+01,2.51E+01,4.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus cinclus,Cinclus cinclus,2.06E+02,6.37E+01,4.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Cinclidae,Cinclus,Cinclus cinclus,Cinclus cinclus,8.45E+01,6.43E+01,13.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus,Turdus merula,Turdus merula,1.79E+02,9.60E+01,3.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Sturnidae,Sturnus,Sturnus vulgaris,Sturnus vulgaris,2.69E+02,7.87E+01,16.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Parus major,7.20E+01,1.74E+01,17.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Parus major,1.03E+02,1.77E+01,11.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Parus major,9.51E+01,1.77E+01,14.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Parus major,9.79E+01,1.77E+01,16.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Parus major,1.03E+02,1.78E+01,11.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Paridae,Parus,Parus major,Parus major,5.60E+01,1.89E+01,3.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus rubecula,Erithacus rubecula,7.13E+01,1.87E+01,10.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erithacus,Erithacus rubecula,Erithacus rubecula,6.30E+01,1.95E+01,4.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe oenanthe,Oenanthe oenanthe,8.74E+01,2.43E+01,12.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Oenanthe,Oenanthe oenanthe,Oenanthe oenanthe,9.53E+01,2.43E+01,13.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,Passerculus sandwichensis,6.77E+01,1.70E+01,14.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,Passerculus sandwichensis,7.38E+01,1.87E+01,16.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,Passerculus sandwichensis,8.03E+01,1.91E+01,16.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Passerellidae,Passerculus,Passerculus sandwichensis,Passerculus sandwichensis,1.56E+02,2.10E+01,15.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Tachycineta,Tachycineta bicolor,Tachycineta bicolor,1.18E+02,2.24E+01,15.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Progne,Progne subis,Progne subis,1.63E+02,4.90E+01,18.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Phaethontiformes,Phaethontidae,Phaethon,Phaethon lepturus,Phaethon lepturus,7.77E+02,3.70E+02,27.10,1,Anderson 2005,,1
Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,Melanerpes formicivurvus,Melanerpes formicivorus,1.95E+02,8.20E+01,12.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanites,Oceanites oceanus,Oceanites oceanicus,1.19E+02,4.23E+01,1.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Pachyptila,Pachyptila desolata,Pachyptila desolata,3.91E+02,1.49E+02,4.70,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Pelecanoididae,Pelecanoides,Pelecanoides urinatrix,Pelecanoides urinatrix,5.57E+02,1.37E+02,7.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Pelecanoididae,Pelecanoides,Pelecanoides georgicus,Pelecanoides georgicus,4.64E+02,1.09E+02,7.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Macronectes,Macronectes giganteus,Macronectes giganteus,4.33E+03,3.89E+03,1.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Procellariidae,Puffinus,Puffinus pacificus,Puffinus pacificus,6.14E+02,3.84E+02,24.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Hydrobatidae,Oceanodroma,Oceanodroma leucorhoa,Oceanodroma leucorhoa,8.71E+01,4.48E+01,15.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Phoebastria,Diomedea immutabilis,Phoebastria immutabilis,1.33E+03,3.07E+03,5.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,Thalassarche,Diomedea chrysostoma,Thalassarche chrysostoma,2.39E+03,3.71E+03,4.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Barnardius,Barnardius zonarius,Barnardius zonarius,1.89E+02,1.45E+02,25.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Neophema,Neophema petrophila,Neophema petrophila,1.06E+02,6.28E+01,24.50,1,Anderson 2005,,0
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Melopsittacus,Melopsittacus undulatus,Melopsittacus undulatus,5.91E+01,2.79E+01,28.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Eolophus,Cacatua roseicapilla,Eolophus roseicapilla,3.49E+02,3.07E+02,25.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyprula minor,Eudyptula minor,1.86E+03,1.07E+03,14.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyprula minor,Eudyptula minor,9.16E+02,1.09E+03,12.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyprula minor,Eudyptula minor,1.06E+03,1.12E+03,13.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyprula minor,Eudyptula minor,6.57E+02,1.37E+03,15.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis antarclica,Pygoscelis antarcticus,4.72E+03,3.81E+03,0.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula minor,Eudyptula minor,1.21E+03,1.04E+03,9.90,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptula,Eudyptula minor,Eudyptula minor,1.16E+03,1.05E+03,11.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,Pygoscelis papua,3.68E+03,6.09E+03,4.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis papua,Pygoscelis papua,4.16E+03,6.20E+03,1.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Pygoscelis adeliae,3.90E+03,3.81E+03,1.40,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Pygoscelis adeliae,3.83E+03,3.97E+03,1.00,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,Pygoscelis adeliae,4.19E+03,4.04E+03,0.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,Spheniscus demersus,1.95E+03,3.17E+03,14.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,Eudyptes chrysolophus,2.95E+03,4.27E+03,4.10,1,Anderson 2005,,0
Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Aptenodytes,Aptenodytes patagonicus,Aptenodytes patagonicus,7.41E+03,1.29E+04,7.30,1,Anderson 2005,,0
Animalia,Chordata,Aves,Struthioniformes,Struthionidae,Struthio,Struthio camelus,Struthio camelus,1.80E+04,8.83E+04,22.20,1,Anderson 2005,,0
Animalia,Chordata,Aves,Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax carbo sinensis,Phalacrocorax carbo,2.09E+03,2.12E+03,-3.60,1,Anderson 2005,,0
Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,Sula bassanus,Morus bassanus,4.87E+03,3.21E+03,12.80,1,Anderson 2005,,0
Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,Morus capensis,Morus capensis,3.38E+03,2.58E+03,23.30,1,Anderson 2005,,1
Animalia,Chordata,Aves,Suliformes,Sulidae,Sula,Sula sula,Sula sula,1.22E+03,1.07E+03,25.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Eremitalpa,Eremitalpa namibensis,,1.25E+01,2.07E+01,17.30,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale dobsoni,Microgale dobsoni,7.71E+01,4.26E+01,17.60,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Afrosoricida,Tenrecidae,Microgale,Microgale talazaci,Microgale talazaci,6.65E+01,4.28E+01,19.90,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,Antidorcas marsupialis,Antidorcas marsupialis,2.41E+04,4.33E+04,19.80,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus,Cervus elaphus,Cervus elaphus,2.50E+04,1.07E+05,13.30,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus,Odocoileus hemionus,Odocoileus hemionus,1.80E+04,3.91E+04,22.30,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx leucoryx,Oryx leucoryx,1.11E+04,8.15E+04,32.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Oryx,Oryx leucoryx,Oryx leucoryx,2.21E+04,8.90E+04,22.80,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Phocidae,Mirounga,Miraunga angustirostris,Mirounga angustirostris,3.08E+04,8.68E+04,10.00,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristatus,Proteles cristata,2.89E+03,7.77E+03,12.20,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Hyaenidae,Proteles,Proteles cristatus,Proteles cristata,1.84E+03,8.54E+03,27.20,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Procyonidae,Bassariscus,Bassariscus astutus,Bassariscus astutus,4.72E+02,7.52E+02,26.70,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Suricata,Suricata suricatta,Suricata suricatta,5.49E+02,7.62E+02,23.40,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes cana,Vulpes cana,6.42E+02,9.72E+02,18.60,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,Vulpes macrotis,1.18E+03,1.48E+03,18.70,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,Vulpes velox,1.49E+03,1.99E+03,-2.60,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,Vulpes velox,2.08E+03,2.20E+03,14.20,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus galapagoensis,Arctocephalus galapagoensis,4.78E+03,3.74E+04,21.80,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Carnivora,Otariidae,Phocarctos,Phocarctos hookeri,Phocarctos hookeri,5.26E+04,1.11E+05,12.50,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus gazella,Arctocephalus gazella,1.63E+03,2.66E+03,4.80,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus gazella,Arctocephalus gazella,2.27E+04,3.49E+04,4.80,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Otariidae,Arctocephalus,Arctocephalus gazella,Arctocephalus gazella,1.93E+04,3.68E+04,4.80,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Carnivora,Phocidae,Phoca,Phoca vitulina,Phoca vitulina,5.25E+04,9.90E+04,11.80,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Anoura,Anoura caudifer,Anoura caudifer,5.19E+01,1.15E+01,23.90,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,Eptesicus fuscus,Eptesicus fuscus,4.36E+01,2.08E+01,18.10,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Chiroptera,Phyllostomidae,Macrotus,Macrotus californicus,Macrotus californicus,2.15E+01,1.30E+01,23.10,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Myotis,Myotis lucifugus,Myotis lucifugus,2.99E+01,9.00E+00,17.90,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Chiroptera,Emballonuridae,Saccopteryx,Saccopteryx bilineata,Saccopteryx bilineata,1.62E+01,7.90E+00,19.30,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Syconycteris,Syconycteris australis,Syconycteris australis,7.69E+01,1.74E+01,16.00,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Plecotus,Plecotus auritus,Plecotus auritus,2.76E+01,8.50E+00,5.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Antechinus stuartii,4.54E+01,1.62E+01,17.40,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Antechinus stuartii,5.41E+01,2.28E+01,5.90,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Antechinus stuartii,8.65E+01,2.78E+01,16.40,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Antechinus stuartii,8.64E+01,3.30E+01,11.30,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus stuartii,Antechinus stuartii,1.01E+02,3.95E+01,5.40,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Antechinus,Antechinus swainsonii,Antechinus swainsonii,1.50E+02,6.26E+01,8.90,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Phascogale,Phascogale calura,Phascogale calura,6.19E+01,3.35E+01,16.40,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Sminthopsis,Sminthopsis crassicaudata,Sminthopsis crassicaudata,6.86E+01,1.66E+01,14.20,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Dasyuromorphia,Dasyuridae,Dasyurus,Dasyurus viverrinus,Dasyurus viverrinus,7.93E+02,1.03E+03,8.70,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctus cinereus,Phascolarctos cinereus,1.48E+03,7.40E+03,27.00,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctus cinereus,Phascolarctos cinereus,1.78E+03,7.80E+03,14.00,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Phascolarctidae,Phascolarctos,Phascolarctus cinereus,Phascolarctos cinereus,2.04E+03,9.30E+03,9.30,1,Anderson 2005,,1
Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Setonix,Setanix brachyurus,Setonix brachyurus,6.62E+02,2.47E+03,22.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Thylogale,Thylogale billiardieri,Thylogale billardierii,1.63E+03,5.98E+03,18.40,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Petauridae,Gymnobelideus,Gymnobelideus leadbeateri,Gymnobelideus leadbeateri,2.26E+02,1.25E+02,10.50,1,Anderson 2005,,0
Animalia,Chordata,Mammalia,Diprotodontia,Macropodidae,Lagorchestes,Lagorchestes conspicillatus,Lagorchestes conspicillatus,6.80E+02,2.53E+03,25.50,1,Anderson 2005,,0
